taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418614	MB418614	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418655	MB418655	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418658	MB418658	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418659	MB418659	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418660	MB418660	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418663	MB418663	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418665	MB418665	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418666	MB418666	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418671	MB418671	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MD729635	MD729635	-	RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139244	MK139244	-	La Bella et al	DependoA	Adeno-associated virus	CHC163_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139245	MK139245	-	La Bella et al	DependoA	Adeno-associated virus	CHC217_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139246	MK139246	-	La Bella et al	DependoA	Adeno-associated virus	CHC367_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139249	MK139249	-	La Bella et al	DependoA	Adeno-associated virus	CHC442_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139252	MK139252	-	La Bella et al	DependoA	Adeno-associated virus	CHC508_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139254	MK139254	-	La Bella et al	DependoA	Adeno-associated virus	CHC668_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139255	MK139255	-	La Bella et al	DependoA	Adeno-associated virus	CHC685_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139256	MK139256	-	La Bella et al	DependoA	Adeno-associated virus	CHC704_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139257	MK139257	-	La Bella et al	DependoA	Adeno-associated virus	CHC714_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139260	MK139260	-	La Bella et al	DependoA	Adeno-associated virus	CHC790_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139262	MK139262	-	La Bella et al	DependoA	Adeno-associated virus	CHC976_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139266	MK139266	-	La Bella et al	DependoA	Adeno-associated virus	CHC1020_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139267	MK139267	-	La Bella et al	DependoA	Adeno-associated virus	CHC1024_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139268	MK139268	-	La Bella et al	DependoA	Adeno-associated virus	CHC1158_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139271	MK139271	-	La Bella et al	DependoA	Adeno-associated virus	CHC1286_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139273	MK139273	-	La Bella et al	DependoA	Adeno-associated virus	CHC1350_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139276	MK139276	-	La Bella et al	DependoA	Adeno-associated virus	CHC1570_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139277	MK139277	-	La Bella et al	DependoA	Adeno-associated virus	CHC1591_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139279	MK139279	-	La Bella et al	DependoA	Adeno-associated virus	CHC1704_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139284	MK139284	-	La Bella et al	DependoA	Adeno-associated virus	CHC2107_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139285	MK139285	-	La Bella et al	DependoA	Adeno-associated virus	CHC2112_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139290	MK139290	-	La Bella et al	DependoA	Adeno-associated virus	CHC2320_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139296	MK139296	-	La Bella et al	DependoA	Adeno-associated virus	CHC3086_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK139297	MK139297	-	La Bella et al	DependoA	Adeno-associated virus	CHC3142_AAV.FL.linear	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163929	MK163929	-	La Bella et al	DependoA	Adeno-associated virus	CHC367_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163930	MK163930	-	La Bella et al	DependoA	Adeno-associated virus	CHC442_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163933	MK163933	-	La Bella et al	DependoA	Adeno-associated virus	CHC704_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163934	MK163934	-	La Bella et al	DependoA	Adeno-associated virus	CHC790_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163936	MK163936	-	La Bella et al	DependoA	Adeno-associated virus	CHC1024_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163937	MK163937	-	La Bella et al	DependoA	Adeno-associated virus	CHC1286_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163940	MK163940	-	La Bella et al	DependoA	Adeno-associated virus	CHC3086_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK163941	MK163941	-	La Bella et al	DependoA	Adeno-associated virus	CHC3142_AAV.FL.circular	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MK905734	MK905734	-	Zhang et al	DependoA	Adeno-associated virus	Human/China/Shanghai/FX3-1613263/AAV	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MN765172	MN765172	-	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-418D	Homo sapiens	33929935
alignment/AL_DependoA/member/ncbi-nuccore-aav/MN765175	MN765175	-	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-450D	Homo sapiens	33929935
alignment/AL_DependoA/member/ncbi-nuccore-aav/MN765178	MN765178	-	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-320D	Homo sapiens	33929935
alignment/AL_DependoA/member/ncbi-nuccore-aav/MT709008	MT709008	-	Cabanes-Creus et al	DependoA	Adeno-associated virus	hu.Lvr01	Homo sapiens	32908003
alignment/AL_DependoA/member/ncbi-nuccore-aav/MT709012	MT709012	-	Cabanes-Creus et al	DependoA	Adeno-associated virus	hu.Lvr05	Homo sapiens	32908003
alignment/AL_DependoA/member/ncbi-nuccore-aav/MT709014	MT709014	-	Cabanes-Creus et al	DependoA	Adeno-associated virus	hu.Lvr07	Homo sapiens	32908003
alignment/AL_DependoA/member/ncbi-nuccore-aav/MZ364221	MZ364221	-	Sadiq et al	DependoA	Adeno-associated virus	AAV_PAK56	Homo sapiens	-
alignment/AL_DependoA/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	Cao et al	DependoA	adeno-associated virus 2	-	-	25127256
alignment/AL_DependoA/member/ncbi-refseqs/NC_001729	NC_001729	AAV3	Muramatsu et al	DependoA	Adeno-associated virus - 3	-	-	8661429
alignment/AL_DependoA/member/ncbi-refseqs/NC_001829	NC_001829	AAV4	Chiorini et  al	DependoA	Adeno-associated virus - 4	ATCC VR-646	-	9261407
alignment/AL_DependoA/member/ncbi-refseqs/NC_002077	NC_002077	AAV1	Xiao et al	DependoA	Adeno-associated virus - 1	-	-	10196295
alignment/AL_DependoA/member/ncbi-refseqs/NC_006260	NC_006260	AAV7	Gao et al	DependoA	adeno-associated virus 7	-	Macaca mulatta	12192090
alignment/AL_DependoA/member/ncbi-refseqs/NC_006261	NC_006261	AAV8	Gao et al	DependoA	adeno-associated virus 8	-	Macaca mulatta	12192090
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF283701	OF283701	-	VOYAGER	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF296682	OF296682	-	CHILDREN'S HOSPITAL INC	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485080	OF485080	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485100	OF485100	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485103	OF485103	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485104	OF485104	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485105	OF485105	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485106	OF485106	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485109	OF485109	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485110	OF485110	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485128	OF485128	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485129	OF485129	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485130	OF485130	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485131	OF485131	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485140	OF485140	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485150	OF485150	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485197	OF485197	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485198	OF485198	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485205	OF485205	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485206	OF485206	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485247	OF485247	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485250	OF485250	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485251	OF485251	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485252	OF485252	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485255	OF485255	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/OF485257	OF485257	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
